Price,address,Local_area,zipcode,beds,baths,sqft,url
295000,14961 S Theodore Roosevelt Way,Sahuarita,85629,3,2,1615,https://www.zillow.com/homedetails/14961-S-Theodore-Roosevelt-Way-Sahuarita-AZ-85629/59832989_zpid/
339995,11029 W Granada Dr,Sun City,85373,4,2,1679,https://www.zillow.com/homedetails/11029-W-Granada-Dr-Sun-City-AZ-85373/8093683_zpid/
425000,129 S Becker Lake Rd,Springerville,85938,6,4,2664,https://www.zillow.com/homedetails/129-S-Becker-Lake-Rd-Springerville-AZ-85938/7350915_zpid/
350000,1837 S Rockwell St,Gilbert,85295,3,2,1742,https://www.zillow.com/homedetails/1837-S-Rockwell-St-Gilbert-AZ-85295/81971600_zpid/
425000,3865 E Garden Ln,Cottonwood,86326,3,2,1665,https://www.zillow.com/homedetails/3865-E-Garden-Ln-Cottonwood-AZ-86326/112360887_zpid/
399900,18182 W Fulton St,Goodyear,85338,4,3,2139,https://www.zillow.com/homedetails/18182-W-Fulton-St-Goodyear-AZ-85338/300108985_zpid/
525000,816 N Emery,Mesa,85207,3,2,2144,https://www.zillow.com/homedetails/816-N-Emery-Mesa-AZ-85207/60049376_zpid/
199000,2743 S 17th Ave,Yuma,85364,3,2,1254,https://www.zillow.com/homedetails/2743-S-17th-Ave-Yuma-AZ-85364/8798853_zpid/
250000,9650 S Leon Ranch Rd,Vail,85641,3,2,1815,https://www.zillow.com/homedetails/9650-S-Leon-Ranch-Rd-Vail-AZ-85641/52486306_zpid/
299900,2678 E Turkey Run Rd,Pinetop,85935,2,1,645,https://www.zillow.com/homedetails/2678-E-Turkey-Run-Rd-Pinetop-AZ-85935/8413059_zpid/
449000,223 Pineveta Rd,Ash Fork,86320,2,3,1729,https://www.zillow.com/homedetails/223-Pineveta-Rd-Ash-Fork-AZ-86320/2093856622_zpid/
132000,325 Pennsylvania Ave,Patagonia,85624,2,1,1088,https://www.zillow.com/homedetails/325-Pennsylvania-Ave-Patagonia-AZ-85624/2112765700_zpid/
799000,1032 E Wagon Wheel Dr,Prescott,86303,2,3,2278,https://www.zillow.com/homedetails/1032-E-Wagon-Wheel-Dr-Prescott-AZ-86303/82017057_zpid/
850000,3419 N 63rd Pl,Scottsdale,85251,3,2,2230,https://www.zillow.com/homedetails/3419-N-63rd-Pl-Scottsdale-AZ-85251/7567830_zpid/
292200,25738 W Saint Catherine Ave,Buckeye,85326,3,2,1326,https://www.zillow.com/homedetails/25738-W-Saint-Catherine-Ave-Buckeye-AZ-85326/67797513_zpid/
335000,45025 N Zorrillo Dr,Phoenix,85087,4,2,2178,https://www.zillow.com/homedetails/45025-N-Zorrillo-Dr-Phoenix-AZ-85087/7928633_zpid/
530000,22610 N Via Tercero,Sun City West,85375,3,3,2525,https://www.zillow.com/homedetails/22610-N-Via-Tercero-Sun-City-West-AZ-85375/8121773_zpid/
310000,8129 S Carbury Way,Tucson,85747,3,2,1738,https://www.zillow.com/homedetails/8129-S-Carbury-Way-Tucson-AZ-85747/8580616_zpid/
239000,170 County Road 3158,Vernon,85940,2,2,1340,https://www.zillow.com/homedetails/170-County-Road-3158-Vernon-AZ-85940/2070529249_zpid/
