address,Year_built,Beds,Baths,Sqft,Lotsize,Price,Link
"
1328 Sierry Peaks Drive,
    
Prescott,

Yavapai County,

AZ
86305",1039833,4,3,"3,542","Contemporary, Contemporary","
                $1,100,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-CCD/1328-Sierry-Peaks-Drive/108337800.html
"
10994 W Rio Vista Lane,
    
Avondale,

Maricopa County,

AZ
85323",6268322,3,2,"1,319","Ranch, Ranch","
                $330,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Avondale/Durango-Park/10994-W-Rio-Vista-Lane/109756874.html
"
9313 E STATIC Avenue,
    
Mesa,

Maricopa County,

AZ
85212",2021,4,3,"2,668",0.092 Ac,"
                $526,670 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Eastmark/9313-E-STATIC-Avenue/109751758.html
"
15415 S 16TH Avenue,
    
Phoenix,

Maricopa County,

AZ
85045",1994,4,3,"2,894",0.172 Ac,"
                $699,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Ahwatukee-Foothills/15415-S-16TH-Avenue/109757016.html
"
2771 N Van Buren Avenue,
    
Tucson,

Pima County,

AZ
85712",22119268,4,2,"1,535","Ranch, Ranch","
                $319,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tucson/Old-Fort-Lowell/2771-N-Van-Buren-Avenue/109776885.html
"
5164 N Long Rifle Road,
    
Prescott Valley,

Yavapai County,

AZ
86314",2001,3,2,"1,581",0.2 Ac,"
                $375,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-Valley/5164-N-Long-Rifle-Road/109506609.html
"
661 S Angelas Place,
    
Show Low,

Navajo County,

AZ
85901",236788,3,2,"1,648",Single Level,"
                $419,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Show-Low/661-S-Angelas-Place/109752439.html
"
8538 W IRMA Lane,
    
Peoria,

Maricopa County,

AZ
85382",2002,4,3,"2,897",0.26 Ac,"
                $675,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Peoria/Fletcher-Heights/8538-W-IRMA-Lane/109756913.html
"
6855 W Lightning Ridge Place,
    
Tucson,

Pima County,

AZ
85745",22116237,4,4,"2,731","Ranch, Ranch, Southwestern, Santa Fe","
                $725,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tucson/Del-Cerro-Estates/6855-W-Lightning-Ridge-Place/108195934.html
"
220 S 17th Place,
    
Cottonwood,

Yavapai County,

AZ
86326",527124,3,4,"1,440","Ranch, Ranch, Southwest","
                $485,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Yavapai-County/Cottonwood/220-S-17th-Place/108989999.html
