Price,address,Local_area,zipcode,latitude,longitude,beds,baths,sqft,url
"$384,900",10101 N Arabian Trl UNIT 2043,Scottsdale,85258,33.57739,-111.890839,2 bds,2 ba,"1,076",https://www.zillow.com/homedetails/10101-N-Arabian-Trl-UNIT-2043-Scottsdale-AZ-85258/50180614_zpid/
"$390,900",936 W Summit Pl,Chandler,85225,33.354249,-111.858814,2 bds,2 ba,"1,170",https://www.zillow.com/homedetails/936-W-Summit-Pl-Chandler-AZ-85225/8200144_zpid/
"$575,000",19344 W Oregon Ave,Litchfield Park,85340,33.513416,-112.476045,4 bds,3 ba,"2,985",https://www.zillow.com/homedetails/19344-W-Oregon-Ave-Litchfield-Park-AZ-85340/95080258_zpid/
"$1,399,000",25008 S 195th St,Queen Creek,85142,33.221305,-111.663086,5 bds,4 ba,"3,855",https://www.zillow.com/homedetails/25008-S-195th-St-Queen-Creek-AZ-85142/95137492_zpid/
"$250,000",8680 E Desert Spring St,Tucson,85730,32.1747,-110.807191,3 bds,2 ba,"1,577",https://www.zillow.com/homedetails/8680-E-Desert-Spring-St-Tucson-AZ-85730/8555195_zpid/
"$544,900",3289 E Carla Vista Dr,Gilbert,85295,33.311583,-111.719132,4 bds,3 ba,"2,356",https://www.zillow.com/homedetails/3289-E-Carla-Vista-Dr-Gilbert-AZ-85295/82825110_zpid/
"$269,900",8511 W Altos Dr,Arizona City,85123,32.735647,-111.658097,3 bds,2 ba,"1,401",https://www.zillow.com/homedetails/8511-W-Altos-Dr-Arizona-City-AZ-85123/67423450_zpid/
"$295,000",14961 S Theodore Roosevelt Way,Sahuarita,85629,31.978537,-110.967237,3 bds,2 ba,"1,615",https://www.zillow.com/homedetails/14961-S-Theodore-Roosevelt-Way-Sahuarita-AZ-85629/59832989_zpid/
"$339,995",11029 W Granada Dr,Sun City,85373,33.638432,-112.298083,4 bds,2 ba,"1,679",https://www.zillow.com/homedetails/11029-W-Granada-Dr-Sun-City-AZ-85373/8093683_zpid/
"$425,000",129 S Becker Lake Rd,Springerville,85938,34.133302,-109.298678,6 bds,4 ba,"2,664",https://www.zillow.com/homedetails/129-S-Becker-Lake-Rd-Springerville-AZ-85938/7350915_zpid/
"$350,000",1837 S Rockwell St,Gilbert,85295,33.316541,-111.730015,3 bds,2 ba,"1,742",https://www.zillow.com/homedetails/1837-S-Rockwell-St-Gilbert-AZ-85295/81971600_zpid/
"$425,000",3865 E Garden Ln,Cottonwood,86326,34.711247,-111.984751,3 bds,2 ba,"1,665",https://www.zillow.com/homedetails/3865-E-Garden-Ln-Cottonwood-AZ-86326/112360887_zpid/
"$399,900",18182 W Fulton St,Goodyear,85338,33.412858,-112.450543,4 bds,3 ba,"2,139",https://www.zillow.com/homedetails/18182-W-Fulton-St-Goodyear-AZ-85338/300108985_zpid/
"$525,000",816 N Emery,Mesa,85207,33.430034,-111.588899,3 bds,2 ba,"2,144",https://www.zillow.com/homedetails/816-N-Emery-Mesa-AZ-85207/60049376_zpid/
